state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1093468,682,8974,694,-130,702,319,14134,1,6,-6,0,36349,130,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1260,0
1093473,734,9088,676,-116,681,378,14136,6,1,-4,0,36351,128,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093473,0
1093478,782,9178,634,-127,659,465,14135,7,0,-4,0,36351,128,34,69,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,1093478,0
1093483,794,9202,600,-113,642,573,14136,0,-3,-2,0,36349,131,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093483,0
1093488,822,9216,580,-94,622,740,14136,1,-1,0,0,36349,131,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093488,0
1093493,838,9186,600,-86,621,744,14136,1,-3,0,0,36348,130,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093493,0
1093498,826,9118,570,-68,630,734,14136,5,-3,0,0,36348,130,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093498,0
1093503,816,9080,616,-54,638,699,14135,-3,0,1,0,36345,123,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093503,0
1093508,794,9054,614,-30,662,693,14136,1,3,1,0,36345,123,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093508,0
1093513,800,9064,590,-18,684,717,14136,0,0,0,0,36343,124,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093513,0
1093518,784,8990,596,0,688,729,14135,1,2,2,0,36343,124,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093518,0
1093523,738,8872,574,9,698,726,14136,0,-2,2,0,36343,130,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093523,0
1093528,686,8750,540,47,722,698,14134,-10,2,0,0,36343,130,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093528,0
1093533,656,8682,538,59,727,684,14136,2,1,0,0,36345,137,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093533,0
1093538,666,8650,536,72,732,678,14135,-1,3,0,0,36345,137,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093539,0
1093543,616,8598,528,98,732,680,14136,3,2,-2,0,36344,136,34,69,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,1093544,0
1093548,602,8502,544,121,728,668,14137,6,0,3,0,36344,136,34,69,0,0,0,0,0,0,0,0,-32300,0,0,0,0,0,1093549,0
1093553,584,8440,550,136,730,661,14134,-7,2,2,0,36349,135,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093554,0
1093558,586,8394,540,146,720,653,14136,5,2,0,0,36349,135,34,69,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,1093559,0
