state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
502950,-3004,7606,-72,67,-7,26,12645,1,-4,-4,0,37171,129,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,1276,0
502955,-2958,7624,-86,73,-11,27,12644,2,0,-3,0,37171,129,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502955,0
502960,-2976,7604,-78,69,-9,27,12644,0,-1,-3,0,37164,136,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502960,0
502965,-2984,7610,-84,67,-9,30,12643,-7,-1,-4,0,37164,136,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502965,0
502970,-2978,7624,-68,70,-5,26,12645,-1,2,-3,0,37163,144,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502970,0
502975,-2978,7602,-82,74,-8,28,12643,-4,-2,-4,0,37163,144,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502975,0
502980,-2982,7614,-86,77,-4,28,12644,-3,0,-4,0,37159,147,35,71,0,0,0,0,0,0,0,0,-32297,0,0,0,0,0,502980,0
502985,-2998,7626,-78,70,-10,30,12644,0,3,-3,0,37159,147,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502985,0
502990,-2994,7592,-76,75,-5,30,12643,-4,-4,-4,0,37157,144,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,502990,0
502995,-2988,7594,-82,73,-7,27,12643,-3,1,-3,0,37157,144,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,502995,0
503000,-2994,7614,-82,65,-6,24,12643,-5,-6,-3,0,37156,143,34,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503000,0
503005,-2976,7608,-74,66,-11,33,12644,-1,3,-3,0,37156,143,34,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503005,0
503010,-2974,7594,-98,71,-6,23,12645,0,0,-4,0,37156,141,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503010,0
503015,-2980,7600,-90,69,-7,27,12644,-1,-2,-3,0,37156,141,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503015,0
503020,-2992,7596,-86,71,-5,24,12644,0,0,-3,0,37155,138,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503020,0
503025,-2990,7596,-76,66,-9,31,12644,-6,1,-4,0,37155,138,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503026,0
503030,-2998,7632,-96,66,-5,27,12645,1,4,-6,0,37157,133,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503031,0
503035,-2990,7586,-74,69,-9,32,12643,-1,-4,-4,0,37157,133,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503036,0
503040,-2982,7624,-92,76,-9,26,12645,0,2,-2,0,37156,129,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503041,0
503045,-2996,7606,-90,72,-6,25,12644,3,-1,-3,0,37156,129,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503046,0
503050,-2996,7570,-76,67,-11,30,12645,9,0,-3,0,37156,128,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503051,0
503055,-2994,7594,-60,74,-5,28,12645,1,-2,-4,0,37156,128,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503056,0
503060,-2978,7608,-58,69,-7,26,12644,7,3,-3,0,37152,134,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503061,0
503065,-2994,7606,-88,70,-9,32,12644,0,-1,-4,0,37152,134,35,71,0,0,0,0,0,0,0,0,-32299,0,0,0,0,0,503066,0
503070,-3008,7574,-80,71,-5,24,12644,0,2,-3,0,37152,131,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503071,0
503075,-2988,7596,-76,68,-5,31,12645,1,3,-4,0,37152,131,35,71,0,0,0,0,0,0,0,0,-32297,0,0,0,0,0,503076,0
503080,-2986,7594,-72,71,-8,27,12643,-3,-1,-2,0,37150,126,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503081,0
503085,-2970,7618,-88,74,-4,28,12644,-3,-3,-2,0,37150,126,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503086,0
503090,-2966,7624,-98,72,-3,24,12645,2,2,-3,0,37145,134,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503091,0
503095,-2998,7610,-64,67,-5,25,12643,-6,0,-4,0,37145,134,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503096,0
503100,-2976,7606,-88,69,-6,28,12644,2,0,-3,0,37142,148,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503101,0
503105,-2972,7592,-96,73,-2,30,12644,-3,3,-4,0,37142,148,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503106,0
503110,-3000,7616,-86,72,-7,23,12644,0,1,-3,0,37140,155,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503111,0
503115,-2998,7616,-82,68,-5,28,12644,-5,-3,-3,0,37140,155,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503116,0
503120,-2974,7588,-74,69,-4,26,12643,0,-2,-3,0,37137,150,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503121,0
503125,-2984,7614,-90,70,-11,32,12644,3,-2,-4,0,37137,150,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503126,0
503130,-2996,7598,-102,70,-1,29,12645,0,4,-2,0,37140,147,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503131,0
503135,-3002,7604,-98,69,-6,27,12646,4,0,-1,0,37140,147,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503136,0
503140,-2996,7596,-76,69,-7,28,12643,0,-2,-3,0,37145,148,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503141,0
503145,-2984,7606,-80,68,-9,26,12644,-1,1,-2,0,37145,148,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503146,0
503150,-2992,7602,-84,70,-6,32,12644,-3,4,-4,0,37147,142,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503151,0
503155,-2998,7584,-90,68,-11,28,12645,1,1,-3,0,37147,142,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503156,0
503160,-2978,7614,-78,73,-7,25,12645,6,3,-3,0,37145,129,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503161,0
503165,-3000,7602,-88,70,-4,24,12644,0,-1,-4,0,37145,129,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503166,0
503170,-2964,7610,-86,67,-8,28,12644,2,0,-4,0,37138,122,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503171,0
503175,-2986,7594,-92,67,-6,26,12644,-4,1,-5,0,37138,122,35,71,0,0,0,0,0,0,0,0,-32298,0,0,0,0,0,503176,0
