state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
5199708,-1126,-140,-8462,-23,28,65,1513563,2,-2,2,0,36243,145,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,877,0
5199771,-1156,-158,-8454,-22,24,62,1513563,-8,2,3,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199708,0
5199772,-1154,-158,-8466,-26,25,60,1513564,0,0,3,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199708,0
5199773,-1154,-158,-8466,-26,25,60,1513564,9,1,2,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199708,0
5199774,-1154,-158,-8466,-26,25,60,1513564,3,1,1,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199709,0
5199775,-1154,-158,-8466,-26,25,60,1513563,0,-1,0,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199710,0
5199776,-1120,-172,-8466,-21,26,60,1513565,0,-5,0,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199711,0
5199777,-1120,-172,-8466,-21,26,60,1513563,-2,5,1,0,36242,157,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199712,0
5199778,-1120,-172,-8466,-21,26,60,1513562,-7,-2,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199713,0
5199779,-1120,-172,-8466,-21,26,60,1513563,-3,-2,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199714,0
5199780,-1142,-152,-8452,-22,20,63,1513564,-5,-4,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199715,0
5199781,-1142,-152,-8452,-22,20,63,1513564,7,3,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199716,0
5199782,-1142,-152,-8452,-22,20,63,1513565,14,2,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199717,0
5199783,-1142,-152,-8452,-22,20,63,1513563,2,1,2,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199718,0
5199784,-1144,-146,-8460,-16,25,58,1513564,-1,-1,2,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199719,0
5199785,-1144,-146,-8460,-16,25,58,1513562,-10,1,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199720,0
5199786,-1144,-146,-8460,-16,25,58,1513564,-6,-1,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199721,0
5199787,-1144,-146,-8460,-16,25,58,1513563,0,2,1,0,36243,142,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199722,0
5199788,-1146,-170,-8492,-25,21,59,1513565,7,-3,0,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199723,0
5199789,-1146,-170,-8492,-25,21,59,1513564,9,2,1,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199724,0
5199790,-1146,-170,-8492,-25,21,59,1513565,5,0,0,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199725,0
5199791,-1146,-170,-8492,-25,21,59,1513563,0,3,0,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199726,0
5199792,-1136,-158,-8460,-16,25,60,1513565,-1,0,0,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199727,0
5199793,-1136,-158,-8460,-16,25,60,1513563,-2,7,1,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199728,0
5199794,-1136,-158,-8460,-16,25,60,1513564,-4,-2,0,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199729,0
5199795,-1136,-158,-8460,-16,25,60,1513565,2,-1,1,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199730,0
5199796,-1124,-156,-8472,-26,22,64,1513564,-1,1,2,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199731,0
5199797,-1124,-156,-8472,-26,22,64,1513564,1,1,1,0,36240,124,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199732,0
5199798,-1124,-156,-8472,-26,22,64,1513563,-3,-4,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199733,0
5199799,-1124,-156,-8472,-26,22,64,1513564,-4,0,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199734,0
5199800,-1168,-152,-8478,-20,22,65,1513563,-1,3,1,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199735,0
5199801,-1168,-152,-8478,-20,22,65,1513564,1,0,1,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199736,0
5199802,-1168,-152,-8478,-20,22,65,1513563,1,2,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199737,0
5199803,-1168,-152,-8478,-20,22,65,1513563,-1,-5,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199738,0
5199804,-1134,-136,-8466,-19,25,59,1513564,2,-5,1,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199739,0
5199805,-1134,-136,-8466,-19,25,59,1513563,-3,1,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199740,0
5199806,-1134,-136,-8466,-19,25,59,1513565,3,-1,2,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199741,0
5199807,-1134,-136,-8466,-19,25,59,1513563,0,-2,1,0,36240,130,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199742,0
5199808,-1162,-150,-8460,-24,26,59,1513565,1,-1,3,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199743,0
5199809,-1162,-150,-8460,-24,26,59,1513564,5,3,3,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199744,0
5199810,-1162,-150,-8460,-24,26,59,1513564,0,-2,1,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199745,0
5199811,-1162,-150,-8460,-24,26,59,1513565,8,3,2,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199746,0
5199812,-1166,-164,-8470,-23,27,63,1513563,-5,-1,2,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199747,0
5199813,-1166,-164,-8470,-23,27,63,1513564,-3,2,1,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199748,0
5199814,-1166,-164,-8470,-23,27,63,1513563,-5,-6,2,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199749,0
5199815,-1166,-164,-8470,-23,27,63,1513563,-7,2,2,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199750,0
5199816,-1134,-144,-8462,-25,21,64,1513563,-1,-5,1,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199751,0
5199817,-1134,-144,-8462,-25,21,64,1513563,-3,1,2,0,36238,146,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199752,0
5199818,-1134,-144,-8462,-25,21,64,1513562,-4,0,2,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199753,0
5199819,-1134,-144,-8462,-25,21,64,1513564,1,-3,2,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199754,0
5199820,-1146,-144,-8470,-20,22,61,1513563,3,2,3,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199755,0
5199821,-1146,-144,-8470,-20,22,61,1513564,4,-2,4,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199756,0
5199822,-1146,-144,-8470,-20,22,61,1513563,3,2,2,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199757,0
5199823,-1146,-144,-8470,-20,22,61,1513565,5,-3,2,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199758,0
5199824,-1150,-174,-8460,-26,27,63,1513564,6,6,2,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199759,0
5199825,-1150,-174,-8460,-26,27,63,1513564,4,2,0,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199760,0
5199826,-1150,-174,-8460,-26,27,63,1513564,2,0,0,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199761,0
5199827,-1150,-174,-8460,-26,27,63,1513563,-7,1,0,0,36238,155,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199762,0
5199828,-1136,-134,-8456,-22,19,60,1513565,0,-2,0,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199763,0
5199829,-1136,-134,-8456,-22,19,60,1513564,0,3,0,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199764,0
5199830,-1136,-134,-8456,-22,19,60,1513563,-1,2,0,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199765,0
5199831,-1136,-134,-8456,-22,19,60,1513566,7,-3,0,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199766,0
5199832,-1122,-172,-8478,-23,21,63,1513564,-1,4,0,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32294,0,0,0,0,0,5199767,0
5199833,-1122,-172,-8478,-23,21,63,1513564,-1,3,1,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199768,0
5199834,-1122,-172,-8478,-23,21,63,1513564,-1,-1,2,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199769,0
5199835,-1122,-172,-8478,-23,21,63,1513564,-8,5,2,0,36249,143,35,144,16,0,0,0,0,0,0,0,-32293,0,0,0,0,0,5199770,0
