state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
158793,-1036,8042,718,50,-3,33,13751,-2,0,0,0,37290,116,26,67,0,0,0,0,0,0,0,0,-32311,0,0,0,0,0,1280,0
158798,-1042,8042,706,50,-1,29,13750,-5,-4,-1,0,37288,118,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158798,0
158803,-1036,8036,724,50,-2,30,13750,1,-5,-2,0,37288,118,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158803,0
158808,-1036,8022,718,49,0,34,13751,0,-4,-3,0,37289,123,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158808,0
158813,-1014,8060,734,48,-7,34,13752,5,3,-1,0,37289,123,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158813,0
158818,-1032,8040,722,51,-5,34,13752,6,3,-1,0,37288,124,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158818,0
158823,-1034,8032,734,51,-7,32,13750,0,0,-1,0,37288,124,26,67,0,0,0,0,0,0,0,0,-32311,0,0,0,0,0,158823,0
158828,-1040,8040,716,53,-2,32,13751,0,5,0,0,37287,117,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158828,0
158833,-1016,8068,688,47,-12,38,13751,4,4,0,0,37287,117,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158833,0
158838,-994,8042,696,48,-8,32,13750,-3,-1,-1,0,37284,115,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158838,0
158843,-1024,8048,704,44,-7,30,13750,-5,-1,-2,0,37284,115,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158843,0
158848,-1032,8048,706,50,-6,35,13751,0,2,-1,0,37285,116,26,67,0,0,0,0,0,0,0,0,-32311,0,0,0,0,0,158848,0
158853,-1016,8034,732,48,-11,35,13751,1,0,0,0,37285,116,26,67,0,0,0,0,0,0,0,0,-32312,0,0,0,0,0,158853,0
