state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
1248126,-3130,7396,-712,-16,83,30,13868,-1,-1,14,8,36359,133,31,68,0,0,0,0,0,0,0,0,-32304,0,0,0,0,0,1273,0
1248131,-3128,7412,-690,-19,65,33,13869,0,2,14,0,36359,133,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248136,-3102,7440,-682,-26,46,47,13870,5,1,12,0,36359,120,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248141,-3112,7450,-698,-29,34,48,13869,2,1,13,8,36359,120,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248146,-3076,7428,-688,-30,28,42,13869,-3,1,13,8,36357,123,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248151,-3054,7440,-654,-39,18,48,13870,4,-6,13,0,36357,123,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248156,-3058,7442,-658,-36,10,48,13868,-3,1,15,8,36358,123,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248161,-3022,7412,-648,-43,1,49,13869,-2,-2,15,0,36358,123,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248166,-3030,7410,-642,-36,5,45,13869,-4,-2,14,0,36361,122,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248171,-2998,7402,-628,-36,5,42,13869,0,4,13,8,36361,122,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248176,-3052,7446,-636,-31,2,48,13869,-11,-4,14,0,36358,121,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248181,-3040,7474,-634,-38,6,51,13869,1,-3,15,0,36358,121,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248127,0
1248186,-3046,7518,-654,-23,3,50,13869,8,0,14,0,36358,124,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248128,0
1248191,-3060,7546,-622,-20,-3,44,13869,4,2,15,0,36358,124,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248133,0
1248196,-3058,7646,-620,-16,1,32,13868,1,3,15,0,36354,118,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248138,0
1248201,-3080,7654,-646,-9,-10,31,13868,0,4,15,8,36354,118,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248143,0
1248206,-3068,7646,-644,-7,-8,29,13870,-2,1,16,8,36350,127,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248148,0
1248211,-3112,7674,-622,-7,-2,24,13869,-5,-3,14,0,36350,127,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248153,0
1248216,-3078,7678,-608,7,-10,16,13870,4,1,14,8,36348,139,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248158,0
1248221,-3056,7694,-634,7,-6,7,13870,0,-1,14,0,36348,139,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248163,0
1248226,-3050,7706,-616,8,-4,4,13870,2,-1,12,8,36345,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248168,0
1248231,-3050,7690,-610,16,0,5,13868,-2,-2,13,8,36345,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248173,0
1248236,-3108,7730,-628,22,14,-2,13869,-3,0,14,0,36343,122,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248178,0
1248241,-3098,7694,-610,30,7,-8,13870,3,1,14,0,36343,122,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248183,0
1248246,-3048,7680,-646,35,19,-7,13870,0,2,13,8,36346,115,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248188,0
1248251,-3082,7686,-630,39,15,-7,13869,-1,-3,14,0,36346,115,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248193,0
1248256,-3050,7680,-622,46,26,-17,13870,4,-4,14,0,36347,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248198,0
1248261,-3084,7652,-598,54,35,-15,13869,2,2,14,8,36347,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248203,0
1248266,-3036,7652,-608,52,32,-19,13869,0,0,15,0,36348,133,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248208,0
1248271,-3046,7648,-608,59,39,-21,13869,0,-2,15,0,36348,133,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248213,0
1248276,-3062,7616,-616,64,47,-28,13870,0,0,15,8,36345,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248218,0
1248281,-3058,7628,-602,68,51,-32,13869,-1,4,14,0,36345,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248223,0
1248286,-3060,7610,-632,78,55,-30,13868,-8,-1,14,0,36346,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248228,0
1248291,-3094,7584,-618,79,59,-32,13869,-3,0,15,0,36346,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248233,0
1248296,-3072,7586,-642,87,62,-32,13869,0,-1,15,8,36344,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248238,0
1248301,-3086,7596,-650,91,54,-35,13869,-2,5,14,8,36344,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248243,0
1248306,-3078,7590,-654,86,65,-34,13869,-2,0,14,8,36343,135,31,68,0,0,0,0,0,0,0,0,-32302,0,0,0,0,0,1248248,0
1248311,-3072,7608,-638,85,66,-31,13869,-4,1,12,0,36343,135,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248253,0
1248316,-3114,7594,-654,86,69,-28,13870,0,-3,14,0,36344,140,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248258,0
1248321,-3118,7578,-672,93,66,-22,13869,2,2,15,0,36344,140,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248264,0
1248326,-3084,7572,-660,89,66,-19,13869,0,2,15,8,36343,144,31,68,0,0,0,0,0,0,0,0,-32304,0,0,0,0,0,1248269,0
1248331,-3120,7554,-654,85,64,-19,13869,0,1,16,0,36343,144,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248274,0
1248336,-3112,7530,-656,101,68,-9,13870,5,2,15,0,36341,136,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248279,0
1248341,-3142,7502,-628,87,69,-5,13869,-5,0,14,0,36341,136,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248286,0
1248346,-3102,7472,-678,93,67,-7,13869,4,-3,14,8,36342,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248289,0
1248351,-3116,7438,-648,96,55,1,13870,5,0,13,0,36342,134,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248294,0
1248356,-3098,7354,-646,88,60,4,13870,4,-1,14,0,36339,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248299,0
1248361,-3114,7352,-658,93,47,17,13870,4,2,13,8,36339,131,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248304,0
1248366,-3124,7326,-642,85,47,18,13870,2,-3,14,0,36343,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248309,0
1248371,-3140,7326,-650,99,40,26,13870,1,-4,14,0,36343,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248314,0
1248376,-3132,7348,-662,90,25,36,13870,4,-1,13,0,36341,128,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248319,0
1248381,-3132,7360,-654,102,17,44,13869,0,-2,13,8,36341,128,31,68,0,0,0,0,0,0,0,0,-32304,0,0,0,0,0,1248324,0
1248386,-3176,7416,-666,98,7,51,13868,0,-4,13,0,36345,117,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248329,0
1248391,-3192,7440,-648,100,0,58,13870,4,1,14,8,36345,117,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248334,0
1248396,-3214,7512,-658,108,-26,66,13868,-1,4,13,0,36343,129,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248339,0
1248401,-3232,7536,-666,111,-34,74,13869,4,5,15,0,36343,129,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248344,0
1248406,-3216,7564,-680,108,-52,80,13870,1,-1,15,8,36343,128,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248349,0
1248411,-3258,7578,-676,107,-64,86,13869,1,1,15,0,36343,128,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248354,0
1248416,-3252,7580,-674,109,-89,93,13869,0,3,15,0,36346,130,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248359,0
1248421,-3244,7578,-668,111,-98,101,13869,-1,-1,14,0,36346,130,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248364,0
1248426,-3220,7578,-676,108,-113,110,13869,0,2,15,0,36346,128,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248369,0
1248431,-3228,7576,-662,122,-117,118,13869,0,1,15,8,36346,128,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248374,0
1248436,-3190,7570,-646,122,-131,126,13869,0,-2,15,0,36344,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248379,0
1248441,-3164,7562,-648,123,-137,131,13869,0,0,15,0,36344,125,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248384,0
1248446,-3150,7554,-618,131,-144,131,13869,0,0,13,8,36345,127,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248389,0
1248451,-3138,7562,-612,135,-146,140,13870,5,3,13,8,36345,127,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248394,0
1248456,-3112,7558,-594,142,-147,138,13869,1,1,13,8,36352,135,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248399,0
1248461,-3096,7578,-600,149,-151,141,13869,-3,-3,14,0,36352,135,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248404,0
1248466,-3108,7598,-606,157,-152,143,13869,5,2,15,0,36355,140,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248409,0
1248471,-3108,7588,-592,157,-149,140,13869,-6,1,15,0,36355,140,31,68,0,0,0,0,0,0,0,0,-32303,0,0,0,0,0,1248414,0
