Fx,Fy,Fz,Mx,My,Mz
-0.39989236795939753,-10.413769522259036,2.43194225152547,0.032764543059715656,0.028567729831806332,-0.07120872787211674
-4.196172709839674,-0.19608551737503,0.48394908913223844,0.07071912181429418,0.002608267072346848,-0.029163306626696084
-0.718507264174228,1.9341552640657476,-1.6298697142865421,0.027966496661668838,-0.019563161499092985,-0.0815862614496492
2.981679304812282,-4.104320926410441,0.30792564590819893,-0.09309040199523011,0.006337693201757588,-0.0721464568098451
-0.6677351030021317,-2.0721861278756304,0.36579719657993337,-0.09324278294761101,0.004745507609584365,0.030489929026540352
-0.887978326445328,10.134680782991278,-1.5489905934077797,0.025801905697077743,-0.019653027188965666,0.016992493129105668
-0.9128613545284043,6.111507156617673,-1.5990731330903145,-0.05521006011488816,-0.01904936418529246,0.12779688873350104
2.5761623328952865,8.162802883113397,-3.6622545738719054,-0.015942660847489076,-0.04120711754305262,0.07317808531469794
2.597681258414191,12.237799708510192,-3.5714003614170906,0.024317168212340423,0.03005832812239362,0.12158638812299927
2.738830953163877,8.117522297032803,0.47988168986466917,-0.01431726402209188,0.0062165698806353475,0.0735258264624381
2.736553053286009,4.079372358082832,-1.656944683762049,-0.05505767916250681,-0.017457178593119238,0.025160502897115578
-1.0618938331608536,10.115992626703129,-3.5537456605625266,0.06592498262015467,-0.042785627921546165,0.17361862255523342
-4.6379309515979905,8.126809720720225,-3.5869510329685,-0.015165127269955558,-0.04434655588248404,0.22916147969809053
6.227854640587619,10.168818023528555,-1.5832997509169218,0.02495013524530698,-0.0159411834771106,0.01890702304363323
-0.8258479235149867,6.04939433610485,0.497313680096795,-0.013387349492177458,0.00466931713339136,0.12687283500944702
-0.9636335157005291,10.11784854855905,-3.594740043957245,0.06599921949439169,-0.04335803329396981,0.015720698257309706
-0.8009648954319104,10.072567962478455,0.5473962197788751,0.06762461631978867,0.004065654129718155,0.01606843940505165
-4.4526572031241916,8.066552822063326,-1.5315586031756538,0.026731820226992165,-0.021200279936209654,0.0703395016761128
-0.9015031127701594,6.032562101672621,-1.5484357704526701,0.026809964305136047,-0.019035688971612785,0.12560104013765105
-1.148907264174328,10.178105447215952,-5.650132473749636,0.02410227199744397,-0.06650430924022999,0.17454267627928743
2.5739957883287587,3.981739146849687,-3.6110623882791515,0.06708542218059432,-0.04057610411202006,0.17959078372739512
-0.9015031127701594,6.032562101672621,-1.5484357704526701,0.026809964305136047,-0.019035688971612785,0.12560104013765105
-4.562275762342789,8.143641955152454,-1.5412015824190348,-0.055362441067269064,-0.020641549777479895,0.2304332745698865
-4.356563430230425,3.8873450076554796,-1.521360800977618,0.10983414012931236,-0.021141671877586532,0.018854275790886277
-0.890144871011886,5.953617046727569,-1.4977984078154805,0.10882998872516092,-0.01902201375793311,0.12340519154180285
2.5739957883287587,3.981739146849687,-3.6110623882791515,0.06708542218059432,-0.04057610411202006,0.17959078372739512
2.4892602571932088,8.082001906312424,-3.570622827839543,0.06600312669829855,-0.04062103695696351,0.22888016101677167
-4.381446458313473,-0.13582861871812746,-1.5714433406606076,0.02882217431734624,-0.02053800887394175,0.12965867139528164
2.8349247260577,3.938314482624957,0.4900794920622502,0.06878505588022832,0.006275177939244259,0.022040600577211578
2.50278504351801,12.184120587631082,-3.5711776507946524,0.06499506809024025,-0.04123837517430218,0.12027161400822628
6.383800916533865,-2.1338261767156617,-1.6636240488410294,0.028122784817956603,-0.015233979569913458,0.028936815473427302
-0.7298655059325583,2.0131003190107997,-1.6805070769241865,-0.05405352775835537,-0.01957683671277266,-0.079390412853801
-1.073252074919127,10.194937681648181,-3.604383023200171,-0.01609504179986998,-0.04279930313522584,0.1758144711510834
2.2554922474252095,16.186750135860645,-5.484855794873056,0.18605587395104628,-0.06440223353816066,0.32399127212788237
9.658297619830616,8.059064665775193,-7.687010617827582,0.18696234525751776,-0.013581232317150693,0.06947210240871193
6.131872223005196,14.205112040622549,0.5945210061040598,0.06561631351148578,0.00830497036903921,0.22517027090688302
-0.8100452373122593,14.189662956373422,2.633585230767949,0.026345007040179835,0.027725727389793065,0.06662961156622416
2.9331850435181046,3.940170404480906,0.4490851086679868,0.06885929275446512,0.005702772566849035,-0.1358573237207139
6.637927412260407,5.9779940919045735,6.660533216115709,0.0292832243783967,0.07895112421518036,-0.029686871950261207
-4.278741696408723,8.085240978351475,0.47319646397954784,-0.01339125669608432,0.0019323207963850564,-0.08628662775001672
-0.5671968856638827,1.9678197329302058,2.461629186812388,-0.052428130932958616,0.027846850710915305,-0.07904267170606083
-0.7174269222939174,10.205192138302618,0.49653614651924727,-0.05507330797813603,0.07534868221273427,0.019579062115674617
3.076612638145658,3.858042931953431,6.637193533576465,0.07096527566044797,0.005534762798816928,-0.13555256181595077
