Output Position,Command Position,Time
0.5080033042547948,0.5080033042547948,1775639393.7052562
0.5080033042547948,0.5080050245262289,1775639393.707235
0.5080033042547948,0.5080103981121705,1775639393.7092495
0.5080033042547948,0.508019440755032,1775639393.7113183
0.5079606936773535,0.5080321353981079,1775639393.7133896
0.5079606936773535,0.5080484871532096,1775639393.7154465
0.5080033042547948,0.5080684890800138,1775639393.7175047
0.5079606936773535,0.5080925818141749,1775639393.7201786
0.5080033042547948,0.5081200999936362,1775639393.7221756
0.5080033042547948,0.5081515533958716,1775639393.724106
0.5079606936773535,0.5081872717223682,1775639393.726331
0.5080033042547948,0.5082260067826962,1775639393.7281692
0.5079606936773535,0.5082684094865041,1775639393.7303033
0.5080033042547948,0.5083147903841575,1775639393.7324271
0.5079606936773535,0.5083797864277249,1775639393.73519
0.5079606936773535,0.5084377406010571,1775639393.7381222
0.5080033042547948,0.5084978565138086,1775639393.7394128
0.5079606936773535,0.508560155777684,1775639393.741386
0.5079606936773535,0.5086261132071045,1775639393.7433918
0.5079606936773535,0.5086955027582268,1775639393.7453568
0.5080033042547948,0.5087684558704971,1775639393.7473996
0.5079606936773535,0.5088452968546495,1775639393.7495337
0.5079606936773535,0.5089460953569727,1775639393.7522984
0.5079606936773535,0.50903111593854,1775639393.7541552
0.5080033042547948,0.5091198745610265,1775639393.7562466
0.5079606936773535,0.509212072679903,1775639393.7582428
0.5080033042547948,0.5093078309869076,1775639393.7602637
0.5079606936773535,0.5094075928182769,1775639393.7624123
0.5079606936773535,0.5095108634262014,1775639393.7644467
0.5080459148322362,0.5096175841726527,1775639393.766428
0.5080033042547948,0.5097281330378308,1775639393.76852
0.5079606936773535,0.5098956501184747,1775639393.771823
0.5079606936773535,0.5100267642294978,1775639393.773969
0.5080033042547948,0.5101516979848294,1775639393.77613
0.5079606936773535,0.510311183835375,1775639393.7791004
0.5080033042547948,0.510443465615583,1775639393.7806802
0.5080033042547948,0.5105790873818007,1775639393.7826886
0.5079606936773535,0.5107184351640941,1775639393.784728
0.5080033042547948,0.5108611835804926,1775639393.786732
0.5080033042547948,0.5110073265935001,1775639393.7887483
0.5079606936773535,0.5111576629003532,1775639393.791291
