Output Position,Command Position,Motor Current,Time
0.11787625861607975,0.1179224628566787,3.0,1771344948.2327092
0.11787625861607975,0.1179224628566787,3.0,1771344948.2336237
0.11787625861607975,0.1179224628566787,3.0,1771344948.2346017
0.11787625861607975,0.1179224628566787,3.0,1771344948.2356367
0.11787625861607975,0.1179224628566787,2.0,1771344948.236681
0.11788549946419953,0.1179224628566787,1.0,1771344948.2380514
0.11787625861607975,0.1179224628566787,1.0,1771344948.2387438
0.11788549946419953,0.1179224628566787,1.0,1771344948.239873
0.11787625861607975,0.1179224628566787,1.0,1771344948.2408326
0.11788549946419953,0.1179224628566787,2.0,1771344948.2419236
0.11787625861607975,0.1179224628566787,1.0,1771344948.2429593
0.11787625861607975,0.1179224628566787,1.0,1771344948.2442033
0.11788549946419953,0.1179224628566787,2.0,1771344948.2451665
0.11787625861607975,0.1179224628566787,2.0,1771344948.2461994
0.11787625861607975,0.1179224628566787,2.0,1771344948.2472017
0.11786701776795996,0.1179224628566787,1.0,1771344948.248264
0.11786701776795996,0.1179224628566787,1.0,1771344948.249341
0.11788549946419953,0.1179224628566787,1.0,1771344948.250413
0.11787625861607975,0.1179224628566787,0.0,1771344948.2517703
0.11787625861607975,0.1179224628566787,-1.0,1771344948.2525268
0.11788549946419953,0.1179224628566787,-2.0,1771344948.2535815
0.11787625861607975,0.1179224628566787,-2.0,1771344948.2548249
0.11787625861607975,0.1179224628566787,-2.0,1771344948.2558804
0.11788549946419953,0.1179224628566787,-1.0,1771344948.2568188
0.11787625861607975,0.1179224628566787,-2.0,1771344948.2579327
0.11786701776795996,0.1179224628566787,-2.0,1771344948.2589266
0.11787625861607975,0.1179224628566787,-1.0,1771344948.259987
0.11788549946419953,0.1179224628566787,-1.0,1771344948.261038
0.11788549946419953,0.1179224628566787,-1.0,1771344948.2622182
0.11788549946419953,0.1179224628566787,-1.0,1771344948.2632563
0.11787625861607975,0.1179224628566787,-2.0,1771344948.2642963
0.11787625861607975,0.1179224628566787,-2.0,1771344948.2653966
0.11787625861607975,0.1179224628566787,-2.0,1771344948.266394
0.11787625861607975,0.1179224628566787,-1.0,1771344948.2674408
0.11787625861607975,0.1179224628566787,-1.0,1771344948.2685175
0.11788549946419953,0.1179224628566787,0.0,1771344948.2695558
0.11788549946419953,0.1179224628566787,0.0,1771344948.2706952
0.11788549946419953,0.1179224628566787,0.0,1771344948.2716975
0.11787625861607975,0.1179224628566787,0.0,1771344948.27271
0.11786701776795996,0.1179224628566787,-1.0,1771344948.2737615
0.11787625861607975,0.1179224628566787,-1.0,1771344948.2748349
0.11788549946419953,0.1179224628566787,0.0,1771344948.2759864
0.11785777691984016,0.1179224628566787,0.0,1771344948.2769482
